state,Location,White2008,Black2008,Hispanic2008,Total2008,White2009,Black2009,Hispanic2009,Total2009,2010White,2010Black,2010Hispanic,2010Total,2011__White,2011__Black,2011__Hispanic,2011__Total,2012__White,2012__Black,2012__Hispanic,2012__Total,2013__White,2013__Black,2013__Hispanic,2013__Total,2014__White,2014__Black,2014__Hispanic,2014__Total,2015__White,2015__Black,2015__Hispanic,2015__Total,2016__White,2016__Black,2016__Hispanic,2016__Total,2017__White,2017__Black,2017__Hispanic,2017__Total,2018__White,2018__Black,2018__Hispanic,2018__Total,2019__White,2019__Black,2019__Hispanic,2019__Total
IA,Iowa,2609000,77500,118700,2894000,2614000,64200,127300,2902600,2616800,87100,145200,2948200,2625700,75800,149200,2963800,2622600,84300,156000,2976000,2619700,95100,162100,2990300,2620800,100300,166400,3002100,2625300,93200,169900,3019800,2623500,98700,171300,3030400,2616900,92800,180800,3045600,2614600,102300,186400,3056800,2610600,119200,191600,3060200
KS,Kansas,2172500,140800,259600,2701400,2176900,144800,254100,2716000,2161600,149700,293300,2761000,2162200,149400,297100,2772200,2167400,152100,306900,2787500,2162900,156400,311400,2796500,2164000,151100,319600,2810700,2155100,159100,326000,2816600,2154300,157400,329400,2817000,2145200,148500,335400,2817600,2137700,150700,336500,2814700,2128700,153300,341900,2811200
KY,Kentucky,3649900,296600,95900,4143600,3653600,298300,108500,4173500,3653400,313700,123500,4207100,3651500,326500,125800,4227900,3653900,322500,127100,4235100,3664400,325700,134500,4260900,3660900,318400,139000,4268800,3662100,332100,139600,4283400,3652100,342700,144300,4287700,3655800,339300,148500,4307100,3664300,328400,155000,4320300,3648500,344900,160800,4319300
LA,Louisiana,2658000,1335400,146100,4273800,2682400,1373800,154600,4352400,2670900,1388800,187000,4400400,2679200,1401300,188900,4431200,2678500,1414000,199900,4457000,2684600,1427300,207900,4483200,2686700,1438500,212100,4508500,2692200,1438800,220800,4530300,2689200,1440900,220700,4530500,2669900,1444600,234300,4541500,2658300,1429700,229400,4519300,2643900,1433000,235800,4498600
ME,Maine,1215200,9700,12000,1274100,1202700,15600,14900,1273900,1221200,14200,14400,1290600,1221000,14600,14500,1292200,1218200,10300,18900,1292600,1215800,12400,16200,1291900,1213700,15600,15700,1293800,1211100,13700,19300,1292600,1210500,20000,19400,1293800,1218000,14600,20600,1300200,1213400,17400,19500,1299500,1213500,17800,21900,1302300
MD,Maryland,3143000,1555700,365200,5470000,3139900,1571800,401300,5525700,3078800,1623500,462200,5622200,3077300,1643100,476500,5668600,3084300,1637300,498100,5722700,3067400,1665700,522900,5767500,3053700,1693500,546000,5819300,3032100,1680700,557200,5838300,3010100,1716500,575200,5856500,2988800,1720600,600300,5892900,2953400,1720400,613900,5870800,2934100,1741500,624500,5875500
MA,Massachusetts,4932400,350600,536700,6265100,4979700,364300,563600,6358100,4834300,391700,611200,6328400,4829700,389700,628900,6360600,4830400,405100,650300,6410600,4828400,404300,680700,6451500,4811900,420500,704400,6506500,4792000,437900,729300,6555600,4771800,440400,750600,6570600,4746900,459100,785300,6620600,4717100,465500,824800,6659900,4687000,466200,824100,6650800
MI,Michigan,7594800,1317400,396100,9764400,7540000,1325500,411400,9724300,7410900,1328700,424800,9657600,7393300,1329400,436400,9655100,7383900,1330200,441400,9659300,7363300,1312200,455000,9664300,7358500,1312600,466100,9682700,7341600,1320200,473300,9693800,7330200,1304100,477300,9693500,7322500,1313800,489200,9720300,7327100,1321900,502900,9770000,7316400,1305100,514600,9765600
MN,Minnesota,4326700,233700,212800,5084500,4354200,220000,218900,5128900,4317200,245100,241400,5187500,4328600,258100,249600,5222300,4332800,269200,257500,5256300,4334600,280900,255900,5287800,4342500,299100,269200,5330400,4350500,303500,271400,5365600,4352400,305000,277200,5392900,4358900,346100,285400,5446600,4370100,356100,296100,5489000,4361600,353700,307300,5514800
MS,Mississippi,1661000,1054600,51400,2826800,1663900,1040600,63000,2836300,1673000,1060100,68000,2867200,1671900,1073100,72800,2878500,1669200,1082700,68500,2884500,1664000,1085700,72800,2889200,1664000,1081800,71700,2886800,1655400,1089000,77000,2889300,1651000,1085900,80500,2887300,1642100,1087600,79500,2884500,1633600,1084700,81200,2879400,1622400,1078300,85900,2867100
MO,Missouri,4729200,618900,175800,5728200,4761500,633000,195200,5805900,4712800,662800,204800,5802000,4719700,643900,206000,5823500,4717300,653900,209300,5830600,4719900,655700,220500,5853100,4705300,668300,223300,5870200,4723300,667000,229600,5890900,4708400,666800,236700,5898000,4716400,657900,247400,5921300,4719400,670600,240400,5934500,4715000,667100,253900,5939900
MT,Montana,824400,2900,29600,938500,826400,3000,26000,942700,847300,3800,26400,962800,851200,4500,27900,971600,853800,4900,29600,978700,861800,4900,31200,986300,864300,5000,32900,993700,873900,5100,35800,1005900,879200,5300,35600,1015100,884600,5600,36300,1022600,890100,5600,40500,1034000,895200,5900,38300,1039400
NE,Nebraska,1442000,70500,143400,1721000,1443200,78400,144000,1731300,1458500,73900,163500,1771000,1460300,73300,168200,1782300,1463200,80500,173800,1795100,1465800,83600,179700,1811200,1470000,82900,184300,1823700,1475100,88200,191300,1838400,1475200,81500,196000,1845000,1472600,80600,203900,1859200,1470100,82100,206800,1868900,1470900,89200,212200,1873600
NV,Nevada,1447500,181000,664100,2556800,1445900,190700,689200,2596300,1433600,204500,711500,2657600,1431200,204200,726600,2675800,1434800,210500,741300,2710900,1432400,216800,756500,2745400,1435800,223000,780500,2795200,1437900,229800,801900,2842700,1441300,241000,824500,2890400,1441400,257000,851600,2946600,1447500,258700,866800,2983400,1448800,279000,888400,3029700
NH,New Hampshire,1185300,8000,37700,1275300,1191000,14500,34800,1282900,1175500,13800,35000,1276000,1177800,11400,36000,1278200,1176100,13500,38600,1280100,1174500,10000,40100,1280700,1174900,13900,40600,1286500,1175700,14600,42000,1287600,1175900,13600,44600,1291300,1175300,17200,47000,1297000,1181500,14600,49900,1310300,1179700,17600,51500,1314000
