state,Location,White2008,Black2008,Hispanic2008,Total2008,White2009,Black2009,Hispanic2009,Total2009,White2010,Black2010,Hispanic2010,Total2010,White2011,Black2011,Hispanic2011,Total2011,White2012,Black2012,Hispanic2012,Total2012,White2013,Black2013,Hispanic2013,Total2013,White2014,Black2014,Hispanic2014,Total2014,White2015,Black2015,Hispanic2015,Total2015,White2016,Black2016,Hispanic2016,Total2016,White2017,Black2017,Hispanic2017,Total2017,White2018,Black2018,Hispanic2018,Total2018,White2019,Black2019,Hispanic2019,Total2019
NE,Nebraska,1.386962552,0,13.94700139,2.324230099,1.385809313,0,0,1.155201294,4.799451491,13.53179973,12.2324159,5.646527386,2.054372389,0,0,1.683218313,1.366867141,12.42236025,0,1.671216088,2.72888525,11.96172249,5.564830273,3.312720848,4.761904762,24.12545235,0,4.935022208,6.101281269,11.33786848,0,5.43951262,4.067245119,49.0797546,0,5.420054201,1.358142062,12.40694789,0,1.613597246,2.040677505,12.18026797,0,2.140296431,6.118702835,33.632287,18.85014138,8.53970965
NH,New Hampshire,0.84366827,0,0,0.784129224,0.839630563,0,0,0.779483982,0.850701829,0,0,0.78369906,2.547121752,87.71929825,0,3.12940072,1.700535669,0,25.90673575,2.343566909,2.554278416,0,24.93765586,3.12329195,0.851136267,0,0,0.777302759,2.551671345,0,0,2.329916123,2.55123735,0,0,2.323240146,3.403386369,0,0,3.084040093,1.692763436,0,0,1.526368007,1.695346274,0,0,1.522070015
NJ,New Jersey,0,3.684259003,2.858776444,0.941774775,0.576923077,0.932922847,4.899902002,1.291201052,0.390701309,13.81851681,0,1.972066261,1.773468905,10.24781069,0.634759426,2.430921319,0.792958528,5.565862709,2.47494122,1.611881872,0.399058223,6.467110126,2.412399735,1.491355872,0.603694611,7.293281065,1.175364363,1.484662296,2.432498176,3.688335639,1.154601085,2.050978203,1.43342753,8.250068751,0,1.825921234,1.030566606,9.081002543,1.655629139,2.039914324,1.046703929,7.270744342,0.551845925,1.603977865,0.844148992,5.548363233,0.548576444,1.26445502
NM,New Mexico,1.245174947,83.33333333,0,2.068252327,1.24331717,112.0448179,0,2.552974215,8.558503485,0,5.332764505,5.946481665,2.44648318,0,6.283380459,3.928308372,4.924895346,0,4.164931279,3.923107101,6.226650062,59.88023952,8.294453084,7.352220371,10.1497082,29.15451895,7.18907261,7.85584524,16.66025887,0,9.176182708,10.80921731,14.29313929,0,14.18870984,12.31891199,9.210526316,0,13.0234422,9.812579727,6.625149066,26.9541779,11.94267516,8.800664939,6.666666667,0,9.899029895,7.347898501
NV,Nevada,4.14507772,11.04972376,3.011594639,3.911138924,5.532886092,10.48767698,1.450957632,4.236798521,8.370535714,19.5599022,1.405481377,6.396748946,2.794857462,9.794319295,8.257638315,4.484640108,4.181767494,14.25178147,4.046944557,4.4265742,6.283161128,4.612546125,2.643754131,4.370947767,9.05418582,22.42152466,0,6.439610761,8.34550386,13.05483029,3.741114852,6.332008302,4.162908485,8.298755187,8.489993936,5.189593136,6.937699459,19.45525292,4.697040864,6.448109686,5.526770294,27.05836877,9.229349331,7.709324931,2.070679183,3.584229391,5.628095452,2.970591148
NY,New York,0.440133096,1.091464746,1.901803544,0.73902027,0.176357512,1.457035661,3.125879154,0.842530963,0.36437837,1.848702211,1.190334484,0.689289502,1.460093811,2.583121148,0.584812421,1.319922917,0.549329818,6.618377027,0.86291204,1.418059779,0.459141039,5.522014431,0.850967266,1.202954037,0.830511133,3.279166363,1.115542293,1.144855436,0.928418903,3.28731098,0,0.986029519,0.842404785,5.132152938,0.272836407,1.248601826,0.469377793,3.290315505,1.343219428,0.983655783,0.666127421,2.235136343,0.818553888,0.841356898,0.862713522,3.394177101,0.821962847,1.110623377
OH,Ohio,1.41137131,0,24.52697968,1.792516245,0.975482864,0,22.58793159,1.42766639,0.877077578,3.003003003,0,1.069928761,1.316467917,9.079216161,2.862868594,2.22725086,1.322488924,8.99820036,0,2.138637153,1.986097319,9.027307606,0,2.669134133,1.658356458,9.649643705,0,2.484405916,1.994194678,10.37575039,0,2.83353847,1.893981595,12.45056394,0,3.014531817,3.569834895,9.580661803,2.379819134,4.062348214,3.241056361,7.2663857,6.898137503,3.698517951,2.691095837,7.246376812,0,2.995198872
OK,Oklahoma,2.791847804,8.396305626,11.22754491,3.41997264,2.383222116,0,3.471017008,1.975113569,4.39841657,20.30869212,0,4.401045248,7.974799633,23.26483133,0,7.094520847,6.770750358,19.72386588,8.670520231,6.775985906,6.345680971,23.06805075,11.19820829,6.976307387,7.147962831,26.52519894,13.61655773,8.001066809,9.109993267,38.46153846,2.60756193,8.98591326,6.348198699,22.99731698,7.664793051,6.577562618,8.774028875,11.41552511,7.496251874,7.361253516,9.630045743,22.41314905,2.414292612,8.123476848,7.636042119,49.46727549,4.710315591,8.884475685
OR,Oregon,2.024906348,15.87301587,0,1.885826666,1.006812766,0,0,0.801367667,3.046303818,31.64556962,2.266545784,3.188097768,1.013718997,0,0,0.790826414,3.696857671,0,4.308487721,3.398248595,2.67997722,16.12903226,4.223864836,2.855955966,4.004404845,0,2.059308072,3.342245989,4.95196593,0,2.00120072,4.05196647,4.568743269,14.32664756,0,3.736455349,2.597571271,28.36879433,5.664652568,3.199606202,4.851385879,26.9179004,1.833852925,4.37870974,3.551021726,13.71742112,3.614022407,3.390733609
PA,Pennsylvania,0.612263641,0,22.93982707,1.582977163,0.913121557,0,12.95546559,1.398774016,0.509938705,6.426218973,1.4522219,1.138794667,0.817018495,8.016032064,2.788233654,1.623600659,1.536759282,8.714251763,1.332090049,2.186659756,2.060835875,7.794232268,2.591009198,2.592289559,1.138834248,3.887118091,0,1.293661061,1.456133964,7.892659826,1.203948953,2.018342698,1.465385501,7.856076675,0,1.941009487,2.631939107,7.723200494,2.206287921,2.986496194,2.011050192,10.19767807,5.319714863,2.986737272,0.638196033,6.24024961,0,1.131075491
