state,location,White2008,Black2008,Hispanic2008,Total2008,White2009,Black2009,Hispanic2009,Total2009,White2010,Black2010,Hispanic2010,Total2010,White2011,Black2011,Hispanic2011,Total2011,White2012,Black2012,Hispanic2012,Total2012,White2013,Black2013,Hispanic2013,Total2013,White2014,Black2014,Hispanic2014,Total2014,White2015,Black2015,Hispanic2015,Total2015,White2016,Black2016,Hispanic2016,Total2016,White2017,Black2017,Hispanic2017,Total2017,White2018,Black2018,Hispanic2018,Total2018,White2019,Black2019,Hispanic2019,Total2019
NC,North Carolina,1.004066469,1.07880684,3.041825095,1.125327752,1.324240217,1.07532663,1.45285486,1.218607021,1.985900109,2.076304179,1.277955272,1.839607839,0.657138163,1.011531459,7.446940549,1.282997081,0.982382605,1.505646173,3.663450971,1.271294177,0.162834625,4.496178248,2.383790226,1.260173274,2.104070567,2.441644692,0,1.868596165,1.931247586,1.453699666,3.37571734,1.849245405,0.959155943,0.966650556,7.732243455,1.52595652,1.5925342,2.395094846,4.276245456,1.909778064,1.267005591,3.340332124,8.310824849,2.289833141,0.472039525,0.470765465,5.061241016,0.887600225
ND,North Dakota,9.087604507,714.2857143,476.1904762,22.93953793,3.646308113,714.2857143,869.5652174,25.99935002,6.924009001,704.2253521,327.8688525,20.08652658,27.45838339,1400,140.8450704,38.04595952,10.1061142,1666.666667,204.0816327,40.18455127,24.74022761,450.4504505,189.8734177,33.16510454,14.60564752,629.3706294,236.6863905,31.05590062,15.96678908,918.3673469,0,26.15638767,14.52315637,752.688172,44.44444444,33.06240529,8.136696501,426.5402844,204.0816327,26.1707989,11.41738705,270.2702703,116.2790698,21.89980838,14.64367068,502.7932961,102.0408163,28.72777018
OH,Ohio,1.41137131,0,24.52697968,1.792516245,0.975482864,0,22.58793159,1.42766639,0.877077578,3.003003003,0,1.069928761,1.316467917,9.079216161,2.862868594,2.22725086,1.322488924,8.99820036,0,2.138637153,1.324064879,13.54096141,0,2.669134133,1.658356458,9.649643705,0,2.484405916,1.994194678,10.37575039,0,2.83353847,1.893981595,12.45056394,0,3.014531817,3.569834895,9.580661803,2.379819134,4.062348214,3.241056361,7.2663857,6.898137503,3.698517951,2.691095837,7.246376812,0,2.995198872
OK,Oklahoma,2.791847804,8.396305626,11.22754491,3.41997264,2.383222116,0,3.471017008,1.975113569,4.39841657,20.30869212,0,4.401045248,7.974799633,23.26483133,0,7.094520847,6.770750358,19.72386588,8.670520231,6.775985906,2.379630364,61.514802,11.19820829,6.976307387,7.147962831,26.52519894,13.61655773,8.001066809,9.109993267,38.46153846,2.60756193,8.98591326,6.348198699,22.99731698,7.664793051,6.577562618,8.774028875,11.41552511,7.496251874,7.361253516,9.630045743,22.41314905,2.414292612,8.123476848,7.636042119,49.46727549,4.710315591,8.884475685
OR,Oregon,2.024906348,15.87301587,0,1.885826666,1.006812766,0,0,0.801367667,3.046303818,31.64556962,2.266545784,3.188097768,1.013718997,0,0,0.790826414,3.696857671,0,4.308487721,3.398248595,0.334997153,129.0322581,4.223864836,2.855955966,4.004404845,0,2.059308072,3.342245989,4.95196593,0,2.00120072,4.05196647,4.568743269,14.32664756,0,3.736455349,2.597571271,28.36879433,5.664652568,3.199606202,4.851385879,26.9179004,1.833852925,4.37870974,3.551021726,13.71742112,3.614022407,3.390733609
PA,Pennsylvania,0.612263641,0,22.93982707,1.582977163,0.913121557,0,12.95546559,1.398774016,0.509938705,6.426218973,1.4522219,1.138794667,0.817018495,8.016032064,2.788233654,1.623600659,1.536759282,8.714251763,1.332090049,2.186659756,1.030417938,15.58846454,2.591009198,2.592289559,1.138834248,3.887118091,0,1.293661061,1.456133964,7.892659826,1.203948953,2.018342698,1.465385501,7.856076675,0,1.941009487,2.631939107,7.723200494,2.206287921,2.986496194,2.011050192,10.19767807,5.319714863,2.986737272,0.638196033,6.24024961,0,1.131075491
RI,Rhode Island,0,21.18644068,0,0.990687537,1.269035533,0,0,0.988337616,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23076923,0,0.991473329,0,18.21493625,0,0.986485153,0,0,0,0,0,17.66784452,6.523157208,1.972581122,1.36369835,0,0,0.984348853,0,17.54385965,0,0.986193294,0,0,0,0
SC,South Carolina,1.773489873,0.829531315,23.82370459,2.315672471,2.097608726,0,20.42900919,2.275986071,2.080948913,8.880277711,4.543389368,4.020998548,3.100775194,10.44176707,0,4.86779511,2.723404255,6.45734119,4.257130694,3.720645204,3.036129946,11.15715652,0,4.9824531,4.673677182,3.947264546,0,4.064779753,4.617718847,7.818608288,0,5.069708492,4.552105349,5.465334166,3.796507213,4.578278151,2.89230967,3.853267571,7.407407407,3.28906796,2.859957418,1.54059467,0,2.231327843,3.462385899,3.05997552,0,3.009510052
SD,South Dakota,0,0,0,0,0,0,0,0,1.494321578,0,0,1.27064803,4.47894894,0,0,3.790750569,0,0,0,0,0,76.33587786,0,1.232134056,1.456876457,0,0,1.217137293,2.912055911,0,0,2.412545235,2.892263196,0,0,2.392916966,2.896871379,0,0,2.38948626,2.886419397,0,0,2.356545305,2.867383513,0,0,2.349348056
TN,Tennessee,1.072317063,1.030502885,8.756567426,1.323363991,0.42627563,0,27.93296089,1.471405683,1.919344864,8.8365243,3.561253561,3.071352365,1.697684782,5.850234009,0,2.247010673,2.749344387,7.714561234,0,3.345334056,1.054429659,14.26804908,0,3.165208033,3.356972011,5.69476082,0,3.451088662,3.136762861,3.761519654,6.136851795,3.269602043,4.154549231,4.721881197,2.957704821,4.019976189,5.776769136,3.721276398,2.845759818,5.047260714,3.909384581,11.95292387,2.763957988,5.010324305,4.913501894,9.186954525,0,5.119787981
TX,Texas,2.31873718,9.261045726,1.854835905,2.791523918,2.136048488,13.99712491,1.452968526,3.070934436,2.520819266,8.682125674,2.783994175,3.172743691,2.413882507,6.070994929,2.396807036,2.67934624,3.550568979,10.78636047,2.972255532,3.939442884,2.118438358,16.42485628,3.920464826,4.306832732,4.379088974,8.982633575,3.233835721,4.185676615,5.565168999,7.480161311,4.299595838,4.929511717,5.365410411,8.641106062,2.81133154,4.378493136,2.76823793,6.882527765,2.92210757,3.113539189,3.187594228,6.765275685,4.568377868,3.925206965,4.210671043,10.31177969,2.65474979,3.994880896
UT,Utah,2.27055992,38.75968992,0,2.233139795,2.705383714,0,0,2.195068413,1.369550331,0,2.828854314,1.468374876,3.16027088,0,2.741979709,2.890695574,2.232043212,0,0,1.78463076,0,185.8736059,2.631578947,2.105706465,5.661034663,33.44481605,7.759958614,5.878691472,3.868804539,30.86419753,0,3.395355154,4.657267454,0,0,3.667522422,1.6720311,30.3030303,9.411764706,2.953337271,4.12984224,83.79888268,11.41031492,5.795421617,2.446682706,61.34969325,6.593406593,3.487524175
VT,Vermont,8.778089888,0,483.8709677,13.35336338,21.11189303,0,681.8181818,30.02001334,5.295675199,1304.347826,0,20.01668057,21.19766826,1951.219512,0,33.34444815,21.17522499,178.5714286,0,21.64141835,15.8674189,833.3333333,111.1111111,24.88800398,12.48662148,377.3584906,229.8850575,18.33333333,15.96027664,1486.486486,107.5268817,34.86055777,14.27042455,2400,90.09009009,35.0233489,26.83363148,1428.571429,192.3076923,44.985005,16.13192328,1666.666667,0,33.3000333,14.41181769,746.2686567,0,21.73549574
VA,Virginia,0,0,0,0,0,0,0,0,0,0.684322179,0,0.12980607,0,0,0,0,0.396251461,0,0,0.254274998,0,0.675721333,0,0.125854236,0,0,1.413627368,0.12490632,0.197890487,0,0,0.124205087,0.595746371,0,0,0.371245777,0.198444197,0,0,0.122839559,0.794580958,0,0,0.48887205,0.597954994,0,0,0.366519652
WA,Washington,0.834097923,4.880429478,1.6,0.9418413,3.929110573,0,1.496781919,3.083279376,3.767030115,9.319664492,1.353912808,3.19347922,6.047966632,4.616805171,6.501950585,5.259677807,3.314550878,8.654262224,0,2.67343938,1.242930831,69.2940667,3.701418877,3.67766042,5.572985469,8.837825895,3.580806875,4.646030548,2.248569092,4.128819158,1.157809425,1.856400297,3.030915336,20.49180328,3.386386725,3.228477983,3.617290649,32.4017821,5.458515284,4.28188624,2.596779993,3.721622627,2.105928188,2.17155266,2.593154073,31.83586841,8.292733492,4.041002707
WV,West Virginia,0.60437568,0,0,0.566508044,1.207000604,0,49.5049505,1.695969246,2.970708811,80.80808081,49.5049505,5.558643691,2.371354043,38.68471954,0,3.329264233,3.569941096,0,0,3.33000333,2.385923054,167.9104478,45.66210046,7.785563341,3.60317079,48.38709677,0,5.023442733,5.414185165,32.78688525,125,7.814680435,7.893618313,98.19967267,41.15226337,11.22523433,9.193429762,93.3125972,0,11.91759832,4.320987654,63.19115324,0,6.277463905,7.458048477,71.55635063,40.32258065,9.77573318
WI,Wisconsin,0.429304312,0,3.603603604,0.548696845,0.429636313,0,3.455425017,0.546179475,0,0,0,0,0.432572726,3.038590094,0,0.54055028,1.945945946,3.104625893,0,1.796590072,0.216412742,21.03365385,0,1.43048726,1.082626018,0,0,0.892283532,1.734229352,5.906674542,0,1.779074525,3.257187527,2.986857826,0,2.845304359,2.391044452,3.047851265,0,2.126528442,0.869848864,5.724098454,0,1.059546514,1.738185769,5.727376861,0,1.761462719
WY,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,4.223864836,0,0,3.625815809,2.109704641,0,0,1.788908766,0,138.8888889,0,1.762735766,6.261740764,0,0,5.277044855,12.51564456,0,0,10.54666901,4.14507772,0,18.28153565,5.268703899,2.107925801,0,0,1.775252974,6.361323155,0,17.85714286,7.139032661,2.120441052,0,17.51313485,3.554291807
Average,Average,1.157183189,3.453886336,3.868548049,1.76787407,1.413628097,3.589020424,4.128583134,2.000014094,1.751420292,5.881004906,2.318398813,2.207397641,1.978336178,7.42887062,3.011716166,2.652757944,2.303625063,8.315262583,3.090384077,2.976652435,1.616595523,13.49469505,3.619816887,3.26173346,2.707622972,6.994680851,3.348144092,3.110773851,3.104980534,7.64673155,3.421353227,3.443337908,3.277285348,8.008402258,3.348508489,3.574314417,3.15073785,7.732502285,3.822078759,3.542333088,3.034605959,7.24311516,3.607849038,3.372071337,2.612680313,7.717577812,3.147069672,3.091629702
