state,Location,White,Black,Hispanic,total,year,,,,,,,,
VA,Virginia,5053300,1492500,722700,8051200,2015,,,,,,,,
WA,Washington,4892000,242200,863700,7002800,2015,,,,,,,,
WV,West Virginia,1662300,61000,24000,1791500,2015,,,,,,,,
WI,Wisconsin,4613000,338600,369600,5620900,2015,,,,,,,,
WY,Wyoming,479400,4500,56200,568900,2015,,,,,,,,
US,United States,192537500,38081700,56144400,314466400,2016,,,,,,,,
AL,Alabama,3121800,1252500,194500,4730100,2016,,,,,,,,
AK,Alaska,439200,20700,47800,714900,2016,,,,,,,,
AZ,Arizona,3754900,270000,2087500,6760900,2016,,,,,,,,
AR,Arkansas,2114900,441600,210000,2895400,2016,,,,,,,,
CA,California,14418700,2066000,15009300,38442400,2016,,,,,,,,
CO,Colorado,3708800,207900,1149700,5398100,2016,,,,,,,,
CT,Connecticut,2342200,340100,546300,3465100,2016,,,,,,,,
DE,Delaware,581900,191300,85000,924300,2016,,,,,,,,
DC,District of Columbia,231400,301700,71600,644400,2016,,,,,,,,
FL,Florida,11017500,3050800,5045400,20144000,2016,,,,,,,,
GA,Georgia,5339500,3083400,938100,10001000,2016,,,,,,,,
HI,Hawaii,287900,17600,139800,1364600,2016,,,,,,,,
ID,Idaho,1362500,8600,202200,1650700,2016,,,,,,,,
IL,Illinois,7719800,1715800,2139000,12491200,2016,,,,,,,,
IN,Indiana,5129200,582900,435200,6431400,2016,,,,,,,,
IA,Iowa,2623500,98700,171300,3030400,2016,,,,,,,,
KS,Kansas,2154300,157400,329400,2817000,2016,,,,,,,,
KY,Kentucky,3652100,342700,144300,4287700,2016,,,,,,,,
LA,Louisiana,2689200,1440900,220700,4530500,2016,,,,,,,,
ME,Maine,1210500,20000,19400,1293800,2016,,,,,,,,
MD,Maryland,3010100,1716500,575200,5856500,2016,,,,,,,,
MA,Massachusetts,4771800,440400,750600,6570600,2016,,,,,,,,
MI,Michigan,7330200,1304100,477300,9693500,2016,,,,,,,,
MN,Minnesota,4352400,305000,277200,5392900,2016,,,,,,,,
MS,Mississippi,1651000,1085900,80500,2887300,2016,,,,,,,,
MO,Missouri,4708400,666800,236700,5898000,2016,,,,,,,,
MT,Montana,879200,5300,35600,1015100,2016,,,,,,,,
NE,Nebraska,1475200,81500,196000,1845000,2016,,,,,,,,
NV,Nevada,1441300,241000,824500,2890400,2016,,,,,,,,
NH,New Hampshire,1175900,13600,44600,1291300,2016,,,,,,,,
NJ,New Jersey,4883400,1090900,1756100,8762700,2016,,,,,,,,
NM,New Mexico,769600,33400,986700,2029400,2016,,,,,,,,
NY,New York,10683700,2727900,3665200,19221500,2016,,,,,,,,
NC,North Carolina,6255500,2069000,905300,9829900,2016,,,,,,,,
ND,North Dakota,619700,18600,22500,725900,2016,,,,,,,,
OH,Ohio,8975800,1365400,402900,11278700,2016,,,,,,,,
OK,Oklahoma,2520400,260900,391400,3800800,2016,,,,,,,,
OR,Oregon,3064300,69800,510400,4014500,2016,,,,,,,,
PA,Pennsylvania,9553800,1272900,866000,12364700,2016,,,,,,,,
RI,Rhode Island,737600,56600,153300,1013900,2016,,,,,,,,
SC,South Carolina,3075500,1280800,263400,4805300,2016,,,,,,,,
SD,South Dakota,691500,11200,30700,835800,2016,,,,,,,,
TN,Tennessee,4814000,1058900,338100,6467700,2016,,,,,,,,
TX,Texas,11555500,3124600,10671100,27178300,2016,,,,,,,,
UT,Utah,2361900,29400,413000,2999300,2016,,,,,,,,
VT,Vermont,560600,5000,11100,599600,2016,,,,,,,,
VA,Virginia,5035700,1495100,732600,8080900,2016,,,,,,,,
WA,Washington,4949000,244000,885900,7124100,2016,,,,,,,,
WV,West Virginia,1646900,61100,24300,1781700,2016,,,,,,,,
WI,Wisconsin,4605200,334800,375000,5623300,2016,,,,,,,,
WY,Wyoming,482500,4000,54700,569400,2016,,,,,,,,
US,United States,192336100,38408000,57560600,317022500,2017,,,,,,,,
AL,Alabama,3119100,1259900,195700,4741400,2017,,,,,,,,
AK,Alaska,433000,18000,47400,710100,2017,,,,,,,,
AZ,Arizona,3761600,270200,2143400,6841300,2017,,,,,,,,
AR,Arkansas,2109200,434100,220300,2910000,2017,,,,,,,,
CA,California,14305700,2061600,15194400,38713900,2017,,,,,,,,
CO,Colorado,3727100,204600,1179000,5461100,2017,,,,,,,,
CT,Connecticut,2320900,336800,566200,3478700,2017,,,,,,,,
DE,Delaware,583100,197900,85900,931700,2017,,,,,,,,
DC,District of Columbia,236500,301800,72500,657600,2017,,,,,,,,
FL,Florida,11058700,3097400,5292800,20532300,2017,,,,,,,,
GA,Georgia,5349500,3130400,974200,10121400,2017,,,,,,,,
HI,Hawaii,280000,14100,137900,1356100,2017,,,,,,,,
ID,Idaho,1381400,9500,207700,1682100,2017,,,,,,,,
IL,Illinois,7664800,1706000,2171200,12496600,2017,,,,,,,,
IN,Indiana,5127000,585200,448700,6459400,2017,,,,,,,,
IA,Iowa,2616900,92800,180800,3045600,2017,,,,,,,,
KS,Kansas,2145200,148500,335400,2817600,2017,,,,,,,,
KY,Kentucky,3655800,339300,148500,4307100,2017,,,,,,,,
LA,Louisiana,2669900,1444600,234300,4541500,2017,,,,,,,,
ME,Maine,1218000,14600,20600,1300200,2017,,,,,,,,
MD,Maryland,2988800,1720600,600300,5892900,2017,,,,,,,,
MA,Massachusetts,4746900,459100,785300,6620600,2017,,,,,,,,
MI,Michigan,7322500,1313800,489200,9720300,2017,,,,,,,,
MN,Minnesota,4358900,346100,285400,5446600,2017,,,,,,,,
MS,Mississippi,1642100,1087600,79500,2884500,2017,,,,,,,,
MO,Missouri,4716400,657900,247400,5921300,2017,,,,,,,,
MT,Montana,884600,5600,36300,1022600,2017,,,,,,,,
NE,Nebraska,1472600,80600,203900,1859200,2017,,,,,,,,
NV,Nevada,1441400,257000,851600,2946600,2017,,,,,,,,
NH,New Hampshire,1175300,17200,47000,1297000,2017,,,,,,,,
NJ,New Jersey,4851700,1101200,1812000,8823900,2017,,,,,,,,
NM,New Mexico,760000,32800,998200,2038200,2017,,,,,,,,
NY,New York,10652400,2735300,3722400,19315700,2017,,,,,,,,
NC,North Carolina,6279300,2087600,935400,9948800,2017,,,,,,,,
ND,North Dakota,614500,21100,24500,726000,2017,,,,,,,,
OH,Ohio,8964000,1356900,420200,11323500,2017,,,,,,,,
OK,Oklahoma,2507400,262800,400200,3803700,2017,,,,,,,,
OR,Oregon,3079800,70500,529600,4063000,2017,,,,,,,,
PA,Pennsylvania,9498700,1294800,906500,12389100,2017,,,,,,,,
RI,Rhode Island,733300,54900,157900,1015900,2017,,,,,,,,
SC,South Carolina,3111700,1297600,270000,4864600,2017,,,,,,,,
SD,South Dakota,690400,17400,29800,837000,2017,,,,,,,,
TN,Tennessee,4847000,1074900,351400,6538200,2017,,,,,,,,
TX,Texas,11559700,3196500,10951000,27621300,2017,,,,,,,,
UT,Utah,2392300,33000,425000,3047400,2017,,,,,,,,
VT,Vermont,559000,7000,10400,600200,2017,,,,,,,,
VA,Virginia,5039200,1507600,758500,8140700,2017,,,,,,,,
WA,Washington,4976100,246900,916000,7239800,2017,,,,,,,,
WV,West Virginia,1631600,64300,20400,1762100,2017,,,,,,,,
WI,Wisconsin,4600500,328100,382000,5643000,2017,,,,,,,,
WY,Wyoming,474400,5300,56100,563300,2017,,,,,,,,
US,United States,192117000,38655700,58483600,318498500,2018,,,,,,,,
AL,Alabama,3115600,1257300,204800,4752600,2018,,,,,,,,
AK,Alaska,426100,20700,50200,709100,2018,,,,,,,,
AZ,Arizona,3815100,297000,2213600,7004300,2018,,,,,,,,
AR,Arkansas,2110400,436900,224900,2921300,2018,,,,,,,,
CA,California,14206900,2074900,15261300,38745900,2018,,,,,,,,
CO,Colorado,3774700,212200,1200900,5555200,2018,,,,,,,,
CT,Connecticut,2298100,343000,576400,3466300,2018,,,,,,,,
DE,Delaware,582600,199900,88900,937700,2018,,,,,,,,
DC,District of Columbia,244800,299900,75600,667900,2018,,,,,,,,
FL,Florida,11101600,3141700,5488400,20843500,2018,,,,,,,,
GA,Georgia,5358000,3158000,994300,10212800,2018,,,,,,,,
HI,Hawaii,278500,20400,142100,1354800,2018,,,,,,,,
ID,Idaho,1407600,9300,217500,1719600,2018,,,,,,,,
IL,Illinois,7588300,1685200,2173800,12438400,2018,,,,,,,,
IN,Indiana,5121300,600600,460900,6487100,2018,,,,,,,,
IA,Iowa,2614600,102300,186400,3056800,2018,,,,,,,,
KS,Kansas,2137700,150700,336500,2814700,2018,,,,,,,,
KY,Kentucky,3664300,328400,155000,4320300,2018,,,,,,,,
LA,Louisiana,2658300,1429700,229400,4519300,2018,,,,,,,,
ME,Maine,1213400,17400,19500,1299500,2018,,,,,,,,
MD,Maryland,2953400,1720400,613900,5870800,2018,,,,,,,,
MA,Massachusetts,4717100,465500,824800,6659900,2018,,,,,,,,
MI,Michigan,7327100,1321900,502900,9770000,2018,,,,,,,,
MN,Minnesota,4370100,356100,296100,5489000,2018,,,,,,,,
MS,Mississippi,1633600,1084700,81200,2879400,2018,,,,,,,,
MO,Missouri,4719400,670600,240400,5934500,2018,,,,,,,,
MT,Montana,890100,5600,40500,1034000,2018,,,,,,,,
NE,Nebraska,1470100,82100,206800,1868900,2018,,,,,,,,
NV,Nevada,1447500,258700,866800,2983400,2018,,,,,,,,
NH,New Hampshire,1181500,14600,49900,1310300,2018,,,,,,,,
NJ,New Jersey,4776900,1100300,1812100,8728300,2018,,,,,,,,
NM,New Mexico,754700,37100,1004800,2045300,2018,,,,,,,,
NY,New York,10508500,2684400,3665000,19016900,2018,,,,,,,,
NC,North Carolina,6314100,2095600,962600,10044400,2018,,,,,,,,
ND,North Dakota,613100,22200,25800,730600,2018,,,,,,,,
OH,Ohio,8947700,1376200,434900,11355900,2018,,,,,,,,
OK,Oklahoma,2492200,267700,414200,3816100,2018,,,,,,,,
OR,Oregon,3091900,74300,545300,4110800,2018,,,,,,,,
PA,Pennsylvania,9447800,1274800,939900,12388100,2018,,,,,,,,
RI,Rhode Island,725400,57000,162700,1014000,2018,,,,,,,,
SC,South Carolina,3146900,1298200,284100,4929800,2018,,,,,,,,
SD,South Dakota,692900,18500,32100,848700,2018,,,,,,,,
TN,Tennessee,4860100,1087600,361800,6586400,2018,,,,,,,,
TX,Texas,11607500,3251900,11163700,28024000,2018,,,,,,,,
UT,Utah,2421400,35800,438200,3105900,2018,,,,,,,,
VT,Vermont,557900,6600,11000,600600,2018,,,,,,,,
VA,Virginia,5034100,1519400,779900,8182100,2018,,,,,,,,
WA,Washington,5006200,268700,949700,7368000,2018,,,,,,,,
WV,West Virginia,1620000,63300,22500,1752300,2018,,,,,,,,
WI,Wisconsin,4598500,349400,393600,5662800,2018,,,,,,,,
WY,Wyoming,471600,2700,56000,560300,2018,,,,,,,,
US,United States,191757100,38872200,59102900,319249300,2019,,,,,,,,
AL,Alabama,3117200,1263500,211700,4767100,2019,,,,,,,,
AK,Alaska,421100,15200,48900,701700,2019,,,,,,,,
AZ,Arizona,3843700,306600,2254800,7098000,2019,,,,,,,,
AR,Arkansas,2108400,444200,226800,2922500,2019,,,,,,,,
CA,California,14047400,2066300,15271400,38642700,2019,,,,,,,,
CO,Colorado,3804100,211100,1221900,5611800,2019,,,,,,,,
CT,Connecticut,2268200,346400,583300,3453300,2019,,,,,,,,
DE,Delaware,577700,205100,91100,940300,2019,,,,,,,,
DC,District of Columbia,246100,302400,75200,671300,2019,,,,,,,,
FL,Florida,11119200,3150100,5583900,20992000,2019,,,,,,,,
GA,Georgia,5354500,3225900,1011800,10294000,2019,,,,,,,,
HI,Hawaii,274400,16400,137900,1343000,2019,,,,,,,,
ID,Idaho,1429500,11500,225600,1750900,2019,,,,,,,,
IL,Illinois,7522700,1679900,2177500,12362300,2019,,,,,,,,
IN,Indiana,5116000,600500,471000,6511800,2019,,,,,,,,
IA,Iowa,2610600,119200,191600,3060200,2019,,,,,,,,
KS,Kansas,2128700,153300,341900,2811200,2019,,,,,,,,
KY,Kentucky,3648500,344900,160800,4319300,2019,,,,,,,,
LA,Louisiana,2643900,1433000,235800,4498600,2019,,,,,,,,
ME,Maine,1213500,17800,21900,1302300,2019,,,,,,,,
MD,Maryland,2934100,1741500,624500,5875500,2019,,,,,,,,
MA,Massachusetts,4687000,466200,824100,6650800,2019,,,,,,,,
MI,Michigan,7316400,1305100,514600,9765600,2019,,,,,,,,
MN,Minnesota,4361600,353700,307300,5514800,2019,,,,,,,,
MS,Mississippi,1622400,1078300,85900,2867100,2019,,,,,,,,
MO,Missouri,4715000,667100,253900,5939900,2019,,,,,,,,
MT,Montana,895200,5900,38300,1039400,2019,,,,,,,,
NE,Nebraska,1470900,89200,212200,1873600,2019,,,,,,,,
NV,Nevada,1448800,279000,888400,3029700,2019,,,,,,,,
NH,New Hampshire,1179700,17600,51500,1314000,2019,,,,,,,,
NJ,New Jersey,4738500,1081400,1822900,8699400,2019,,,,,,,,
NM,New Mexico,750000,35000,1010200,2041400,2019,,,,,,,,
NY,New York,10432200,2651600,3649800,18908300,2019,,,,,,,,
NC,North Carolina,6355400,2124200,987900,10139700,2019,,,,,,,,
ND,North Dakota,614600,17900,29400,731000,2019,,,,,,,,
OH,Ohio,8918300,1380000,452300,11351500,2019,,,,,,,,
OK,Oklahoma,2488200,262800,424600,3826900,2019,,,,,,,,
OR,Oregon,3097700,72900,553400,4128900,2019,,,,,,,,
PA,Pennsylvania,9401500,1282000,960500,12377600,2019,,,,,,,,
RI,Rhode Island,717300,60300,169100,1017100,2019,,,,,,,,
SC,South Carolina,3177000,1307200,285200,4984200,2019,,,,,,,,
SD,South Dakota,697500,18800,31400,851300,2019,,,,,,,,
TN,Tennessee,4884500,1088500,378900,6640900,2019,,,,,,,,
TX,Texas,11637100,3297200,11300500,28286200,2019,,,,,,,,
UT,Utah,2452300,32600,455000,3154100,2019,,,,,,,,
VT,Vermont,555100,6700,10600,598100,2019,,,,,,,,
VA,Virginia,5017100,1543100,787100,8185100,2019,,,,,,,,
WA,Washington,5013200,282700,964700,7423900,2019,,,,,,,,
WV,West Virginia,1609000,55900,24800,1739000,2019,,,,,,,,
WI,Wisconsin,4602500,349200,401700,5677100,2019,,,,,,,,
WY,Wyoming,471600,5400,57100,562700,2019,,,,,,,,
