state,Location,White,Black,Hispanic,total,year,,,,,,,,
SD,South Dakota,666700,10100,18400,781400,2009,,,,,,,,
TN,Tennessee,4691800,986600,250600,6116600,2009,,,,,,,,
TX,Texas,11235700,2643400,8947200,24096900,2009,,,,,,,,
UT,Utah,2217800,26200,336500,2733400,2009,,,,,,,,
VT,Vermont,568400,5400,8800,599600,2009,,,,,,,,
VA,Virginia,4985000,1413200,540600,7512800,2009,,,,,,,,
WA,Washington,4835700,208600,668100,6486600,2009,,,,,,,,
WV,West Virginia,1657000,50700,20200,1768900,2009,,,,,,,,
WI,Wisconsin,4655100,313300,289400,5492700,2009,,,,,,,,
WY,Wyoming,454000,4100,43100,526300,2009,,,,,,,,
US,United States,191844300,36217100,49603000,300806200,2010,,,,,,,,
AL,Alabama,3133000,1212100,176400,4651400,2010,,,,,,,,
AK,Alaska,439300,20500,37900,684600,2010,,,,,,,,
AZ,Arizona,3628600,236200,1857400,6256900,2010,,,,,,,,
AR,Arkansas,2113800,443000,178300,2834000,2010,,,,,,,,
CA,California,14600800,2042700,13825100,36515700,2010,,,,,,,,
CO,Colorado,3452800,172400,1016300,4916200,2010,,,,,,,,
CT,Connecticut,2467300,319600,467300,3463700,2010,,,,,,,,
DE,Delaware,572100,180200,71900,871700,2010,,,,,,,,
DC,District of Columbia,191200,293800,53600,570200,2010,,,,,,,,
FL,Florida,10650200,2744700,4186400,18398800,2010,,,,,,,,
GA,Georgia,5276300,2833000,833600,9414700,2010,,,,,,,,
HI,Hawaii,282400,15200,111200,1301600,2010,,,,,,,,
ID,Idaho,1295400,7700,172700,1538900,2010,,,,,,,,
IL,Illinois,7988000,1759200,2010000,12536400,2010,,,,,,,,
IN,Indiana,5136600,557600,379400,6289300,2010,,,,,,,,
IA,Iowa,2616800,87100,145200,2948200,2010,,,,,,,,
KS,Kansas,2161600,149700,293300,2761000,2010,,,,,,,,
KY,Kentucky,3653400,313700,123500,4207100,2010,,,,,,,,
LA,Louisiana,2670900,1388800,187000,4400400,2010,,,,,,,,
ME,Maine,1221200,14200,14400,1290600,2010,,,,,,,,
