state,Location,White2008,Black2008,Hispanic2008,Total2008,White2009,Black2009,Hispanic2009,Total2009,White2010,Black2010,Hispanic2010,Total2010,White2011,Black2011,Hispanic2011,Total2011,White2012,Black2012,Hispanic2012,Total2012,White2013,Black2013,Hispanic2013,Total2013,White2014,Black2014,Hispanic2014,Total2014,White2015,Black2015,Hispanic2015,Total2015,White2016,Black2016,Hispanic2016,Total2016,White2017,Black2017,Hispanic2017,Total2017,White2018,Black2018,Hispanic2018,Total2018,White2019,Black2019,Hispanic2019,Total2019
MN,,2,1,,3,8,,3,11,9,1,,10,6,1,,7,2,6,,8,3,6,,9,5,,1,6,8,3,,11,11,3,1,15,10,1,,11,6,2,1,9,7,5,1,13
MS,,8,,6,14,5,1,7,13,10,3,,13,13,10,,23,8,9,,17,9,16,1,26,17,11,,28,16,10,,26,17,10,2,29,21,16,2,39,15,9,,24,13,12,1,26
MO,,2,,3,5,,,2,2,3,1,,4,1,4,,5,7,3,,10,6,1,,7,10,6,,16,9,2,,11,4,5,,9,11,7,1,19,7,5,,12,14,7,,21
MT,,,,,0,2,,,2,1,,,1,2,,,2,1,,1,2,,7,,7,4,,,4,4,,,4,5,,,5,4,,,4,5,,,5,8,,1,9
NE,,4,,4,8,8,1,4,13,9,,,9,3,4,,7,6,9,,15,14,12,2,28,11,9,,20,15,9,,24,18,13,1,32,14,11,2,27,16,12,2,30,18,11,2,31
NV,,,,,0,,,,0,1,,,1,,,,0,1,,,1,,2,,2,1,,,1,,,,0,2,,,2,1,,,1,4,,,4,,,,0
NH,,2,,2,4,2,,,2,7,1,2,10,3,,,3,2,1,,3,1,4,1,6,7,2,,9,9,1,,10,6,4,,10,2,1,,3,3,1,,4,9,3,4,16
NJ,,1,,,1,1,,,1,1,,,1,3,1,,4,2,,1,3,,3,1,4,1,,,1,3,,,3,3,,,3,4,,,4,2,,,2,2,,,2
NM,,,4,4,8,3,1,7,11,2,15,,17,9,11,1,21,4,6,4,14,7,2,4,13,3,8,2,13,12,4,2,18,7,9,,16,5,10,3,18,5,8,1,14,4,6,1,11
NY,,1,3,,4,1,4,,5,7,,5,12,2,,6,8,4,,4,8,2,5,8,15,8,1,7,16,13,,9,22,11,,14,25,7,,13,20,5,1,12,18,5,,10,15
NC,,6,2,2,10,8,2,1,11,12,4,1,17,4,2,6,12,6,3,3,12,1,9,2,12,13,5,,18,12,3,3,18,6,2,7,15,10,5,4,19,8,7,8,23,3,1,5,9
ND,,5,3,6,14,2,4,10,16,4,5,4,13,16,7,2,25,6,18,3,27,15,5,3,23,9,9,4,22,10,9,,19,9,14,1,24,5,9,5,19,7,6,3,16,9,9,3,21
OH,,13,,7,20,9,,7,16,8,4,,12,12,12,1,25,12,12,,24,12,18,,30,15,13,,28,18,14,,32,17,17,,34,32,13,1,46,29,10,3,42,24,10,,34
OK,,7,2,3,12,6,,1,7,11,5,,16,20,6,,26,17,5,3,25,6,16,4,26,18,7,5,30,23,10,1,34,16,6,3,25,22,3,3,28,24,6,1,31,19,13,2,34
OR,,6,1,,7,3,,,3,9,2,1,12,3,,,3,11,,2,13,1,8,2,11,12,,1,13,15,,1,16,14,1,,15,8,2,3,13,15,2,1,18,11,1,2,14
PA,,6,,13,19,9,,8,17,5,8,1,14,8,10,2,20,15,11,1,27,10,20,2,32,11,5,,16,14,10,1,25,14,10,,24,25,10,2,37,19,13,5,37,6,8,,14
RI,,,1,,1,1,,,1,,,,0,,,,0,,,,0,,1,,1,,1,,1,,,,0,,1,1,2,1,,,1,,1,,1,,,,0
SC,,5,1,4,10,6,,4,10,6,11,1,18,9,13,,22,8,8,1,17,9,14,,23,14,5,,19,14,10,,24,14,7,1,22,9,5,2,16,9,2,,11,11,4,,15
SD,,,,,0,,,,0,1,,,1,3,,,3,,,,0,,1,,1,1,,,1,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2
TN,,5,1,2,8,2,,7,9,9,9,1,19,8,6,,14,13,8,,21,5,15,,20,16,6,,22,15,4,2,21,20,5,1,26,28,4,1,33,19,13,1,33,24,10,,34
